Player,Team,DYAR Rank,DYAR,YAR Rank,YAR,DVOA Rank,DVOA,VOA Rank,VOA,Passes,Yards,EYds Rank,EYds,TD,Catch Rate Rank,Catch Rate,FUM,DPI
83-D.Thompkins,TB,64,-43,62,-38,78,-71.00%,78,-65.30%,10,32,78,-3,0,54,50%,0,0/0
C. Sims,WAS,65,-43,63,-41,70,-42.60%,69,-41.30%,18,89,66,53,0,70,44%,0,0/0
J. Proche,BAL,67,-43,69,-45,75,-45.60%,75,-47.10%,17,62,72,43,0,66,47%,0,0/0
M. Bandy,LAC,68,-44,70,-45,68,-41.20%,72,-42.10%,21,89,65,60,0,63,48%,0,0/0
B. Perriman,TB,69,-44,66,-41,73,-43.40%,68,-41.20%,19,110,69,52,1,65,47%,1,0/0
M. Johnson,NYG,70,-45,73,-49,67,-39.90%,71,-41.90%,22,99,63,69,0,75,41%,0,0/0
B. Johnson,DEN,71,-45,68,-45,76,-53.80%,76,-53.00%,14,42,76,23,1,74,43%,0,0/0
A. Schwartz,CLE,72,-48,71,-47,79,-71.30%,79,-70.10%,10,51,79,-4,0,76,40%,1,0/0
S. Shepard,NYG,73,-49,61,-35,66,-39.50%,60,-32.10%,24,154,59,76,1,46,54%,0,13-Jan
S. Sims,PIT,74,-51,75,-53,69,-42.40%,73,-43.40%,23,104,64,64,0,34,61%,0,0/0
T. Thornton,NE,75,-53,72,-48,56,-27.50%,54,-26.20%,45,247,26,211,2,62,49%,0,0/0
S. Miller,TB,76,-62,76,-54,58,-31.50%,57,-29.00%,40,185,36,176,0,39,58%,0,Feb-43
B. Berrios,NYJ,77,-63,77,-64,63,-36.80%,64,-37.10%,32,145,51,119,0,41,56%,0,19-Jan
R. Anderson,2TM,78,-79,79,-91,62,-35.60%,65,-39.00%,44,282,39,164,1,69,45%,1,6-Jan
A. Green,ARI,79,-98,78,-89,65,-39.10%,63,-36.50%,47,236,42,157,2,53,51%,0,0/0
D. Duvernay,BAL,1,76,2,71,4,58.50%,7,51.40%,12,84,1,0,,,,,
B. Berrios,NYJ,2,70,1,71,2,121.00%,2,123.00%,9,91,2,0,,,,,
K. Toney,2TM,3,66,3,65,1,133.80%,1,131.50%,7,82,1,0,,,,,
B. Powell,LAR,4,57,5,62,12,31.30%,11,37.90%,16,106,0,0,,,,,
C. Watson,GB,5,57,6,58,3,117.20%,3,121.50%,7,80,2,0,,,,,
J. Agnew,JAX,6,53,7,54,11,37.60%,10,38.80%,12,86,0,0,,,,,
A. St. Brown,DET,7,45,10,42,10,40.80%,12,34.70%,9,95,0,0,,,,,
V. Jones,CHI,8,45,8,45,9,42.80%,9,42.70%,9,103,1,1,,,,,
I. McKenzie,BUF,9,42,9,44,7,51.50%,4,56.80%,9,55,1,0,,,,,
C. Kupp,LAR,10,40,12,35,14,25.70%,15,17.40%,9,52,1,0,,,,,
C. Samuel,WAS,11,37,4,64,26,-20.40%,26,-6.70%,38,187,1,1,,,,,
T. Hill,MIA,12,35,13,35,5,57.60%,5,55.80%,7,32,1,0,,,,,
G. Dortch,ARI,13,34,15,29,13,26.80%,16,16.40%,7,44,0,0,,,,,
D. Moore,CAR,14,33,11,36,17,11.00%,17,15.90%,10,53,0,0,,,,,
J. Jones,TB,15,31,14,31,6,53.90%,6,52.00%,5,45,0,0,,,,,
K. Raymond,DET,16,28,17,28,15,25.00%,13,25.90%,7,36,0,0,,,,,
S. Sims,PIT,17,25,16,28,23,-3.10%,22,1.90%,13,70,0,0,,,,,
P. Campbell,IND,18,22,19,22,8,43.90%,8,44.30%,5,58,0,0,,,,,
L. Shenault,CAR,19,22,18,24,20,5.50%,18,9.00%,9,65,1,0,,,,,
C. Claypool,2TM,20,22,21,20,19,6.90%,20,3.70%,9,59,0,0,,,,,
G. Olszewski,PIT,21,21,20,22,21,5.00%,19,7.80%,8,39,0,0,,,,,
D. Johnson,PIT,22,15,25,12,16,14.00%,21,3.50%,7,25,0,0,,,,,
T. Atwell,LAR,23,14,22,19,24,-12.80%,24,-4.00%,9,34,1,0,,,,,
E. St. Brown,CHI,24,14,24,18,18,9.50%,14,21.30%,6,54,0,0,,,,,
C. Lamb,DAL,25,12,23,18,25,-17.00%,25,-6.40%,10,47,0,0,,,,,
M. Washington,DEN,26,12,26,11,22,2.70%,23,-1.60%,5,30,0,0,,,,,
C. Kirk,JAX,27,2,28,3,27,-28.60%,27,-25.10%,5,11,0,0,,,,,
K. Bourne,NE,28,1,29,3,28,-36.60%,28,-31.00%,6,39,0,0,,,,,
D. Samuel,SF,29,-2,27,7,29,-39.40%,29,-35.60%,42,232,3,3,,,,,
E. Moore,NYJ,30,-6,30,-4,30,-59.10%,30,-51.90%,5,5,0,0,,,,,
J. Chase,CIN,31,-10,32,-12,32,-72.50%,32,-78.50%,5,8,0,0,,,,,
T. McLaurin,WAS,32,-12,31,-7,31,-69.80%,31,-55.90%,7,29,0,1,,,,,
R. Moore,ARI,33,-30,33,-31,33,-113.80%,33,-116.90%,6,-5,0,0,,,,,
